l_ipn,r_asn,f,year,month,day,dayofweek,f_scaled
6,11908,13,2006,7,1,5,-0.014035776995513708
6,12968,1,2006,7,1,5,-0.016117355187611336
6,14501,2,2006,7,1,5,-0.015943890338269866
6,15290,4,2006,7,1,5,-0.015596960639586929
6,17429,1,2006,7,1,5,-0.016117355187611336
6,19548,1,2006,7,1,5,-0.016117355187611336
7,109,7,2006,7,1,5,-0.015076566091562521
7,2152,46,2006,7,1,5,-0.008311436967245232
7,3356,55,2006,7,1,5,-0.006750253323172012
7,3491,3,2006,7,1,5,-0.015770425488928395
7,3561,35,2006,7,1,5,-0.010219550310001392
7,3582,10,2006,7,1,5,-0.014556171543538115
7,4513,6,2006,7,1,5,-0.01525003094090399
7,6432,10,2006,7,1,5,-0.014556171543538115
7,7805,2,2006,7,1,5,-0.015943890338269866
7,7859,2,2006,7,1,5,-0.015943890338269866
7,8070,5,2006,7,1,5,-0.015423495790245458
7,9156,2,2006,7,1,5,-0.015943890338269866
7,10565,2,2006,7,1,5,-0.015943890338269866
7,10763,5,2006,7,1,5,-0.015423495790245458
7,12222,2,2006,7,1,5,-0.015943890338269866
7,15169,32,2006,7,1,5,-0.010739944858025798
7,15290,2,2006,7,1,5,-0.015943890338269866
7,15830,19,2006,7,1,5,-0.012994987899464894
7,16759,4,2006,7,1,5,-0.015596960639586929
7,17210,7,2006,7,1,5,-0.015076566091562521
7,18924,48,2006,7,1,5,-0.007964507268562295
7,19306,15,2006,7,1,5,-0.01368884729683077
7,21844,26,2006,7,1,5,-0.01178073395407461
7,22277,5,2006,7,1,5,-0.015423495790245458
7,22822,2,2006,7,1,5,-0.015943890338269866
7,25969,6,2006,7,1,5,-0.01525003094090399
7,26085,5,2006,7,1,5,-0.015423495790245458
7,26101,15,2006,7,1,5,-0.01368884729683077
7,26229,16,2006,7,1,5,-0.0135153824474893
7,29720,8,2006,7,1,5,-0.014903101242221052
7,32934,7,2006,7,1,5,-0.015076566091562521
7,33419,2,2006,7,1,5,-0.015943890338269866
8,25,4,2006,7,1,5,-0.015596960639586929
8,26,3,2006,7,1,5,-0.015770425488928395
8,109,7,2006,7,1,5,-0.015076566091562521
8,209,4,2006,7,1,5,-0.015596960639586929
8,557,10,2006,7,1,5,-0.014556171543538115
8,786,6,2006,7,1,5,-0.01525003094090399
8,1103,1,2006,7,1,5,-0.016117355187611336
8,1653,5,2006,7,1,5,-0.015423495790245458
8,1668,4,2006,7,1,5,-0.015596960639586929
8,2152,21,2006,7,1,5,-0.012648058200781956
8,2386,7,2006,7,1,5,-0.015076566091562521
8,2834,23,2006,7,1,5,-0.012301128502099018
8,3356,5,2006,7,1,5,-0.015423495790245458
8,3561,5,2006,7,1,5,-0.015423495790245458
8,3701,4,2006,7,1,5,-0.015596960639586929
8,3999,1,2006,7,1,5,-0.016117355187611336
8,4266,4,2006,7,1,5,-0.015596960639586929
8,5653,16,2006,7,1,5,-0.0135153824474893
8,5662,13,2006,7,1,5,-0.014035776995513708
8,6140,4,2006,7,1,5,-0.015596960639586929
8,6453,4,2006,7,1,5,-0.015596960639586929
8,6939,4,2006,7,1,5,-0.015596960639586929
8,7805,1,2006,7,1,5,-0.016117355187611336
8,8001,4,2006,7,1,5,-0.015596960639586929
8,8070,6,2006,7,1,5,-0.01525003094090399
8,8075,7,2006,7,1,5,-0.015076566091562521
8,8468,6,2006,7,1,5,-0.01525003094090399
8,10913,4,2006,7,1,5,-0.015596960639586929
8,12552,4,2006,7,1,5,-0.015596960639586929
8,13890,4,2006,7,1,5,-0.015596960639586929
8,15169,228,2006,7,1,5,0.023259165612902113
8,15290,1,2006,7,1,5,-0.016117355187611336
8,17374,5,2006,7,1,5,-0.015423495790245458
8,21844,1,2006,7,1,5,-0.016117355187611336
8,22205,4,2006,7,1,5,-0.015596960639586929
8,22822,8,2006,7,1,5,-0.014903101242221052
8,22982,4,2006,7,1,5,-0.015596960639586929
8,27357,2,2006,7,1,5,-0.015943890338269866
8,33554,4,2006,7,1,5,-0.015596960639586929
9,102,43,2006,7,1,5,-0.00883183151526964
9,209,6,2006,7,1,5,-0.01525003094090399
9,559,1,2006,7,1,5,-0.016117355187611336
9,701,8,2006,7,1,5,-0.014903101242221052
9,1239,17,2006,7,1,5,-0.013341917598147832
9,2152,193,2006,7,1,5,0.0171878958859507
9,2911,71,2006,7,1,5,-0.003974815733708509
9,3356,34,2006,7,1,5,-0.01039301515934286
9,3561,13,2006,7,1,5,-0.014035776995513708
9,4267,2,2006,7,1,5,-0.015943890338269866
9,5779,104,2006,7,1,5,0.0017495242945599653
9,6432,5,2006,7,1,5,-0.015423495790245458
9,6453,7,2006,7,1,5,-0.015076566091562521
9,7224,5,2006,7,1,5,-0.015423495790245458
9,7743,32,2006,7,1,5,-0.010739944858025798
9,8070,6,2006,7,1,5,-0.01525003094090399
9,8075,2,2006,7,1,5,-0.015943890338269866
9,8912,5,2006,7,1,5,-0.015423495790245458
9,10565,1,2006,7,1,5,-0.016117355187611336
9,10763,6,2006,7,1,5,-0.01525003094090399
9,10794,7,2006,7,1,5,-0.015076566091562521
9,11266,59,2006,7,1,5,-0.006056393925806137
9,11486,15,2006,7,1,5,-0.01368884729683077
9,11499,6,2006,7,1,5,-0.01525003094090399
9,12182,9,2006,7,1,5,-0.014729636392879584
9,12217,12,2006,7,1,5,-0.014209241844855176
9,12222,7,2006,7,1,5,-0.015076566091562521
9,14779,79,2006,7,1,5,-0.002587096938976758
9,14780,328,2006,7,1,5,0.040605650547049
9,15169,40,2006,7,1,5,-0.009352226063294047
9,16509,15,2006,7,1,5,-0.01368884729683077
9,17110,8,2006,7,1,5,-0.014903101242221052
9,22758,4,2006,7,1,5,-0.015596960639586929
9,26101,89,2006,7,1,5,-0.0008524484455620687
9,30217,6,2006,7,1,5,-0.01525003094090399
9,33419,1,2006,7,1,5,-0.016117355187611336
9,36088,217,2006,7,1,5,0.021351052270145957
0,209,1,2006,7,2,6,-0.016117355187611336
0,701,1,2006,7,2,6,-0.016117355187611336
0,766,1,2006,7,2,6,-0.016117355187611336
0,2514,1,2006,7,2,6,-0.016117355187611336
0,2711,1,2006,7,2,6,-0.016117355187611336
0,2819,1,2006,7,2,6,-0.016117355187611336
0,2856,1,2006,7,2,6,-0.016117355187611336
0,3269,8,2006,7,2,6,-0.014903101242221052
0,3320,1,2006,7,2,6,-0.016117355187611336
0,3561,14,2006,7,2,6,-0.01386231214617224
0,4766,1,2006,7,2,6,-0.016117355187611336
0,5462,1,2006,7,2,6,-0.016117355187611336
0,9038,1,2006,7,2,6,-0.016117355187611336
0,9708,1,2006,7,2,6,-0.016117355187611336
0,10139,1,2006,7,2,6,-0.016117355187611336
0,11351,2,2006,7,2,6,-0.015943890338269866
0,12322,1,2006,7,2,6,-0.016117355187611336
0,12542,1,2006,7,2,6,-0.016117355187611336
0,12946,1,2006,7,2,6,-0.016117355187611336
0,13462,16,2006,7,2,6,-0.0135153824474893
0,13749,849,2006,7,2,6,0.13098083705395433
0,15802,1,2006,7,2,6,-0.016117355187611336
0,17506,2,2006,7,2,6,-0.015943890338269866
0,17858,1,2006,7,2,6,-0.016117355187611336
0,19262,1,2006,7,2,6,-0.016117355187611336
0,20401,1,2006,7,2,6,-0.016117355187611336
0,22909,1,2006,7,2,6,-0.016117355187611336
0,24093,2,2006,7,2,6,-0.015943890338269866
0,26085,1,2006,7,2,6,-0.016117355187611336
0,26101,1,2006,7,2,6,-0.016117355187611336
0,28573,1,2006,7,2,6,-0.016117355187611336
0,33651,1,2006,7,2,6,-0.016117355187611336
0,33657,1,2006,7,2,6,-0.016117355187611336
0,35916,1,2006,7,2,6,-0.016117355187611336
1,766,1,2006,7,2,6,-0.016117355187611336
1,2852,2,2006,7,2,6,-0.015943890338269866
1,2856,6,2006,7,2,6,-0.01525003094090399
1,3265,1611,2006,7,2,6,0.26316105225215364
1,3269,50,2006,7,2,6,-0.007617577569879357
1,3354,2,2006,7,2,6,-0.015943890338269866
1,3549,1,2006,7,2,6,-0.016117355187611336
1,3561,8,2006,7,2,6,-0.014903101242221052
1,4134,2,2006,7,2,6,-0.015943890338269866
1,4323,1,2006,7,2,6,-0.016117355187611336
1,4766,1,2006,7,2,6,-0.016117355187611336
1,4808,9,2006,7,2,6,-0.014729636392879584
1,4812,1,2006,7,2,6,-0.016117355187611336
1,4837,3,2006,7,2,6,-0.015770425488928395
1,5432,1,2006,7,2,6,-0.016117355187611336
1,6478,2,2006,7,2,6,-0.015943890338269866
1,7132,1,2006,7,2,6,-0.016117355187611336
1,11351,1,2006,7,2,6,-0.016117355187611336
1,11427,2,2006,7,2,6,-0.015943890338269866
1,11908,1,2006,7,2,6,-0.016117355187611336
1,12302,53,2006,7,2,6,-0.00709718302185495
1,12322,1,2006,7,2,6,-0.016117355187611336
1,13571,2,2006,7,2,6,-0.015943890338269866
1,13749,849,2006,7,2,6,0.13098083705395433
1,13767,4,2006,7,2,6,-0.015596960639586929
1,14777,7,2006,7,2,6,-0.015076566091562521
1,14778,16,2006,7,2,6,-0.0135153824474893
1,15169,10,2006,7,2,6,-0.014556171543538115
1,16852,2,2006,7,2,6,-0.015943890338269866
1,17184,3,2006,7,2,6,-0.015770425488928395
1,19548,2,2006,7,2,6,-0.015943890338269866
1,19945,1,2006,7,2,6,-0.016117355187611336
1,22773,1,2006,7,2,6,-0.016117355187611336
1,32244,1,2006,7,2,6,-0.016117355187611336
1,33287,1,2006,7,2,6,-0.016117355187611336
1,33653,1,2006,7,2,6,-0.016117355187611336
1,36727,1,2006,7,2,6,-0.016117355187611336
2,174,1,2006,7,2,6,-0.016117355187611336
2,766,1,2006,7,2,6,-0.016117355187611336
2,1312,92,2006,7,2,6,-0.00033205389753766183
2,2637,1,2006,7,2,6,-0.016117355187611336
2,2915,38,2006,7,2,6,-0.009699155761976984
2,3557,1,2006,7,2,6,-0.016117355187611336
2,3561,7,2006,7,2,6,-0.015076566091562521
2,4323,16,2006,7,2,6,-0.0135153824474893
2,7018,936,2006,7,2,6,0.1460722789466621
2,7132,4,2006,7,2,6,-0.015596960639586929
2,7377,83,2006,7,2,6,-0.0018932375416108823
2,12513,3,2006,7,2,6,-0.015770425488928395
2,13749,849,2006,7,2,6,0.13098083705395433
2,29863,4,2006,7,2,6,-0.015596960639586929
3,766,2,2006,7,2,6,-0.015943890338269866
3,3269,5,2006,7,2,6,-0.015423495790245458
3,3354,2,2006,7,2,6,-0.015943890338269866
3,3593,2,2006,7,2,6,-0.015943890338269866
3,4134,4,2006,7,2,6,-0.015596960639586929
3,4808,8,2006,7,2,6,-0.014903101242221052
3,4837,1,2006,7,2,6,-0.016117355187611336
3,13582,1,2006,7,2,6,-0.016117355187611336
3,13749,1,2006,7,2,6,-0.016117355187611336
3,17184,4,2006,7,2,6,-0.015596960639586929
4,766,1,2006,7,2,6,-0.016117355187611336
4,3269,29,2006,7,2,6,-0.011260339406050205
4,4323,1,2006,7,2,6,-0.016117355187611336
4,13749,390,2006,7,2,6,0.05136047120622008
4,14778,4,2006,7,2,6,-0.015596960639586929
4,29895,413,2006,7,2,6,0.05535016274107386
4,31976,85,2006,7,2,6,-0.0015463078429279445
4,33651,18,2006,7,2,6,-0.013168452748806363
5,209,1,2006,7,2,6,-0.016117355187611336
5,766,1,2006,7,2,6,-0.016117355187611336
5,2152,2,2006,7,2,6,-0.015943890338269866
5,3269,5,2006,7,2,6,-0.015423495790245458
5,3356,1,2006,7,2,6,-0.016117355187611336
5,3593,1,2006,7,2,6,-0.016117355187611336
5,4134,10,2006,7,2,6,-0.014556171543538115
5,4808,7,2006,7,2,6,-0.015076566091562521
5,4837,2,2006,7,2,6,-0.015943890338269866
5,8070,5,2006,7,2,6,-0.015423495790245458
5,8075,5,2006,7,2,6,-0.015423495790245458
5,10139,7,2006,7,2,6,-0.015076566091562521
5,11351,2,2006,7,2,6,-0.015943890338269866
5,13749,1,2006,7,2,6,-0.016117355187611336
5,13867,2,2006,7,2,6,-0.015943890338269866
5,14366,4,2006,7,2,6,-0.015596960639586929
5,17184,2,2006,7,2,6,-0.015943890338269866
5,17429,2,2006,7,2,6,-0.015943890338269866
6,766,1,2006,7,2,6,-0.016117355187611336
6,3269,5,2006,7,2,6,-0.015423495790245458
6,3354,2,2006,7,2,6,-0.015943890338269866
6,4134,5,2006,7,2,6,-0.015423495790245458
6,4808,8,2006,7,2,6,-0.014903101242221052
6,4812,1,2006,7,2,6,-0.016117355187611336
6,4837,2,2006,7,2,6,-0.015943890338269866
6,13749,1,2006,7,2,6,-0.016117355187611336
6,17184,2,2006,7,2,6,-0.015943890338269866
7,109,7,2006,7,2,6,-0.015076566091562521
